WORK_RECOMMENDATION_DTL_ID_A,WORK_RECOMMENDATION_DTL_ID_B,district,category,text_similarity,days_apart,amount_ratio,same_vendor,spatial_compatibility,match_typology,duplicate_suspicion_score,description_A,description_B,reason
186531.0,186532.0,PUNE(DISTRICT COLLECTOR PUNE_IDA),Normal/Others,0.998,0,1.0,True,ADJACENT_SEGMENT,CONTRACT_TRANCHE_SPLIT,0.998,"Asphalting of roads in lane no. 01 and 02 at Sai Ganesh Park, S.N. 122, Khandwe Nagar, Lohegaon.
","Asphalting of roads in lane no. 03 and 04 at Sai Ganesh Park, S.N. 122, Khandwe Nagar, Lohegaon.","Potential engineered contract split candidate: Shared site (Adjacent segments at Sai Ganesh Park, Lohegaon, Khandwe Nagar: Lane 01 and 02 vs Lane 03 and 04) with adjacent segment partitioning totaling Rs. 20.00L assigned to the same vendor; recommended for procurement review to verify tender ceiling compliance."
215132.0,215133.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),Normal/Others,0.878,0,1.0,True,IDENTICAL_SITE,TRUE_DUPLICATE,0.99,"Cosntruction of road with drainage from Gokul Nagar Main road to residence of Mr.Gaurav, Kalamna","Cosntruction of road with drainage from Main road to residence of Manish Sahu and Main road to residence of Harsha Paunikar, Gokul Nagar, Kalamna","High-confidence candidate for duplicate sanction: Identical physical site and scope (Same village/area: Kalamna, Gokul Nagar), pending physical confirmation."
303326.0,303334.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),Normal/Others,0.914,0,1.0,False,IDENTICAL_SITE,TRUE_DUPLICATE,0.99,"CONSTRUCTION OF ROAD AT SONEGAON BORI, TA. NAGPUR FROM MR. LATIF SAWARE HOME TO MR. RAVI RAMTEKE HOME","CONSTRUCTION OF ROAD AT SONEGAON BORI, TA. NAGPUR MR. SHARAD RAMTEKE TO MR. MAHENDRA BHONGADE HOME","High-confidence candidate for duplicate sanction: Identical physical site and scope (Same village/area: Sonegaon Bori), pending physical confirmation."
210260.0,210261.0,PUNE(DISTRICT COLLECTOR PUNE_IDA),Normal/Others,0.92,0,1.0,False,IDENTICAL_SITE,TRUE_DUPLICATE,0.99,"Construction of a bus stop at Yerwada Metro Station in Pune Lok Sabha Constituency.
",Construction of a bus stop near Nagar Road Zonal Office adjacent to Yerwada Metro Station in Pune Lok Sabha Constituency.,"High-confidence candidate for duplicate sanction: Identical physical site and scope (Same village/area: Yerwada), pending physical confirmation."
303322.0,303334.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),Normal/Others,0.91,0,1.0,False,IDENTICAL_SITE,TRUE_DUPLICATE,0.99,CONSTRUCTION OF ROAD AT SONEGAON BORI TA. NAGPUR FROM MAIN ROAD TO MR. SHANKAR KHAPNE  HOME,"CONSTRUCTION OF ROAD AT SONEGAON BORI, TA. NAGPUR MR. SHARAD RAMTEKE TO MR. MAHENDRA BHONGADE HOME","High-confidence candidate for duplicate sanction: Identical physical site and scope (Same village/area: Sonegaon Bori), pending physical confirmation."
303322.0,303326.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),Normal/Others,0.895,0,1.0,False,IDENTICAL_SITE,TRUE_DUPLICATE,0.99,CONSTRUCTION OF ROAD AT SONEGAON BORI TA. NAGPUR FROM MAIN ROAD TO MR. SHANKAR KHAPNE  HOME,"CONSTRUCTION OF ROAD AT SONEGAON BORI, TA. NAGPUR FROM MR. LATIF SAWARE HOME TO MR. RAVI RAMTEKE HOME","High-confidence candidate for duplicate sanction: Identical physical site and scope (Same village/area: Sonegaon Bori), pending physical confirmation."
195289.0,195114.0,WARDHA(DISTRICT COLLECTOR WARDHA_IDA),Normal/Others,0.855,0,0.4,False,IDENTICAL_SITE,TRUE_DUPLICATE,0.99,"Construction of cement drain from Subhash Aawate to Ashok Sonawane house in Mauja Shirpur Taluka Arvi, District Wardha","Construction of cement road from Subhash Avate to Ashok Sonawane house at Mauja Shirpur Taluka Arvi, District Wardha","High-confidence candidate for duplicate sanction: Identical physical site and scope (Same village/area: Shirpur), pending physical confirmation."
248484.0,248485.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),Normal/Others,0.886,7,1.0,False,IDENTICAL_SITE,TRUE_DUPLICATE,0.95,"CONSTRUCTION OF CEMENT ROAD AT SALAI, TA. SAONER MR. DHANRAJ AMBARTE HOME TO MR. SITARAM BELEKAR HOME","CONSTRUCTION OF CEMENT ROAD AT SALAI, TA. SAONER MR. VASANTRAOJI AMBARTE HOME TO MR. MAHADEV WAKHORE HOME","High-confidence candidate for duplicate sanction: Identical physical site and scope (Same village/area: Salai), pending physical confirmation."
248291.0,280871.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),Normal/Others,0.895,111,1.0,False,IDENTICAL_SITE,TRUE_DUPLICATE,0.95,"CHAIN LINK FENCE TO PLAYGROUND AT BORUJWADA, TA. SAONER DEVELOPMENT NEAR HANUMAN MANDIR AREA OF MOUJA BORUJWADA, TA. SAONER","DEVELOPMENTOF AREA AT BORUJWADA, TA. SAONER NEAR HANUMAN TEMPLE N PROTECTION OF CHAIN FENCING TO OPEN PLAYGROUND","High-confidence candidate for duplicate sanction: Identical physical site and scope (Same village/area: Borujwada), pending physical confirmation."
254347.0,278484.0,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),Normal/Others,0.891,122,0.667,False,IDENTICAL_SITE,TRUE_DUPLICATE,0.95,Construction of a Gram Panchayat building at Nandgaon T. Varud in Amravati district.,"Construction of Gram Panchayat Bhavan at Nandgaon T. Varad, Dist. Amravati","High-confidence candidate for duplicate sanction: Identical physical site and scope (Same village/area: Nandgaon), pending physical confirmation."
298891.0,298895.0,PUNE(DISTRICT COLLECTOR PUNE_IDA),Normal/Others,0.851,0,1.0,False,UNRESOLVED_ENTITIES,UNRESOLVED_SIMILAR_WORK,0.811,Construction of a library building on Municipal Corporation land at Dattawadi in the Pune Lok Sabha constituency. (SC),Construction of a library on Municipal Corporation land at Shivdarshan-Parvati by the Sangharsh Pratishthan within the Pune Lok Sabha constituency.,"Candidate for overlap review (spatial disambiguation inconclusive -- no entity anchors extracted; textual similarity 85%), pending manual site disambiguation."
211051.0,245049.0,PUNE(DISTRICT COLLECTOR PUNE_IDA),Normal/Others,0.996,131,1.0,False,UNRESOLVED_ENTITIES,UNRESOLVED_SIMILAR_WORK,0.752,Purchase of books for a government-approved library,Purchase of books for a government approved library,"Candidate for overlap review (spatial disambiguation inconclusive -- no entity anchors extracted; textual similarity 100%), pending manual site disambiguation."
254344.0,259004.0,WARDHA(DISTRICT COLLECTOR WARDHA_IDA),Normal/Others,0.875,28,0.379,False,UNRESOLVED_ENTITIES,UNRESOLVED_SIMILAR_WORK,0.732,"Installation of cement concrete benches  Wardha taluka Alodi (Satoda), Pipri (Meghe), Paloti, Umri (Meghe), Sidi (Meghe), Sawangi Meghe, Nalwadi, Borgaon Meghe total 100 benches.","Installation of cement concrete benches at various places under Gram Panchayat Pipri (Meghe),  Ta.Dist. Wardha.","Candidate for overlap review (spatial disambiguation inconclusive -- no entity anchors extracted; textual similarity 88%), pending manual site disambiguation."
254344.0,259006.0,WARDHA(DISTRICT COLLECTOR WARDHA_IDA),Normal/Others,0.87,28,0.143,False,UNRESOLVED_ENTITIES,UNRESOLVED_SIMILAR_WORK,0.705,"Installation of cement concrete benches  Wardha taluka Alodi (Satoda), Pipri (Meghe), Paloti, Umri (Meghe), Sidi (Meghe), Sawangi Meghe, Nalwadi, Borgaon Meghe total 100 benches.","Installation of cement concrete benches at various places under Gram Panchayat Sidi (Meghe), Ta. Dist. Wardha.","Candidate for overlap review (spatial disambiguation inconclusive -- no entity anchors extracted; textual similarity 87%), pending manual site disambiguation."
254344.0,259008.0,WARDHA(DISTRICT COLLECTOR WARDHA_IDA),Normal/Others,0.866,28,0.049,False,UNRESOLVED_ENTITIES,UNRESOLVED_SIMILAR_WORK,0.694,"Installation of cement concrete benches  Wardha taluka Alodi (Satoda), Pipri (Meghe), Paloti, Umri (Meghe), Sidi (Meghe), Sawangi Meghe, Nalwadi, Borgaon Meghe total 100 benches.","Installation of cement concrete benches at various places under Gram Panchayat Paloti, Ta. Dist. Wardha.","Candidate for overlap review (spatial disambiguation inconclusive -- no entity anchors extracted; textual similarity 87%), pending manual site disambiguation."
