WORK_CATEGORY,ACTIVITY_NAME,STATE_NAME,HOUSE_OF_PARLIAMENT,IDA_NAME,TENURE,MP_NAME,WORK_DESCRIPTION,RECOMMENDATION_DATE,RECOMMENDED_AMOUNT,FLAG,CONSTITUENCY_ID,WORK_STAGE,LETTER_NO,SANCTION_AMOUNT,Sno,CONSTITUENCY,WORK_RECOMMENDATION_DTL_ID,FILE_STATUS,TENURE_START_DATE,TENURE_END_DATE,ATTACH_ID,SANCTION_DATE,Total_Amt,WORK_ID,ACTUAL_AMOUNT,ACTUAL_END_DATE,AVERAGE_RATING,VENDOR_NAME,VENDOR_ID,IA_NAME,FUND_DISBURSED_AMT,WORK_STATUS,days_to_sanction,days_since_recommendation,days_to_complete,is_completed_flag,SANCTION_FY,RECOMMENDATION_FY,FY,RECIPIENT_TYPE,IS_TRIBAL_TRUST,IS_SC_AREA,IS_ST_AREA,rule_violations,rule_score,cost_anomaly_score,cost_anomaly_flag,cost_anomaly_method,category_median,category_sample_size,cost_anomaly_reason,is_duplicate_candidate,duplicate_candidate_score,risk_index,primary_anchors,signal_type_count,tier_level,is_tier2,tier_promotion_reason
Normal/Others,WS/MP672/2024-2025/136731-Lighting of public spaces,Maharashtra,2.0,DISTRICT_A(DISTRICT COLLECTOR DISTRICT_A_IDA),18th Lok Sabha,MP_18LS_01 (Urban Center),"Installation of Highmast light and electric poles with light at Gosavi Ghat, Binaki, Nagpur",2024-08-22,999600.0,1.0,250.0,Work Completed,LN/MP672/2024-2025/53,999600.0,1.0,Constituency_A (Urban Metro Center),136731.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",667113.0,2024-08-23,,58856.0,963514.0,2024-08-23,0.0,Ansari Electricals,31308.0,Executive Engineer Electrical Nagpur Muncipal Corporation,963514.0,Payment Success,1.0,745,0.0,True,2024-25,2024-25,2024-25,Government Agency,False,,,"[{'rule_id': 'D4', 'description': 'Just-below-threshold budget positioning (within 1-2% or â‚¹2,000 below key round slabs â‚¹1L, â‚¹10L, â‚¹25L, â‚¹50L, â‚¹1Cr) â€” potential approval ceiling or procurement threshold evasion', 'weight': 15}]",15,0.0229639064456159,False,isolation_forest,999971.0,113,,False,0.0,21.25,"['FAST_TRACK_SANCTION', 'JUST_BELOW_THRESHOLD']",2,Tier 2 (Actionable Red Flag),True,"Actionable Red Flag: Corroborated by 2 independent signals [FAST_TRACK_SANCTION + JUST_BELOW_THRESHOLD] -> Fast-Track Sanction: Approved in 1d (District bottom quartile); Threshold Evasion: Budget of Rs 999,600 positioned just below statutory slab"
Normal/Others,WS/MP672/2024-2025/144101-Purchase of hospital equipment,Maharashtra,2.0,DISTRICT_A(DISTRICT COLLECTOR DISTRICT_A_IDA),18th Lok Sabha,MP_18LS_01 (Urban Center),"Upgrading of Prosthetic & Orthotics unit at CRC, Nagpur.",2024-09-27,152300.0,1.0,250.0,Work Completed,LN/MP672/2024-2025/54,152300.0,2.0,Constituency_A (Urban Metro Center),144101.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",754822.0,2024-09-30,,65289.0,152300.0,2024-10-04,0.0,Pro Ortho Perfect India Pvt Ltd,32458.0,"Composite Regional Centre, Nagpur_2",152300.0,Payment Success,3.0,709,4.0,True,2024-25,2024-25,2024-25,Government Agency,False,,,[],0,0.4519102631371556,False,isolation_forest,999971.0,113,,False,0.0,20.86,['FAST_TRACK_SANCTION'],1,Tier 1 (Operational Watchlist),False,Operational Watchlist: Fast-Track Sanction: Approved in 3d (District bottom quartile)
Normal/Others,WS/MP672/2024-2025/144103-Purchase of hospital equipment,Maharashtra,2.0,DISTRICT_A(DISTRICT COLLECTOR DISTRICT_A_IDA),18th Lok Sabha,MP_18LS_01 (Urban Center),"Purchasing of Solar (Battery Operated) tricycle at CRC, Nagpur.",2024-09-27,555000.0,1.0,250.0,Physical Inspection,LN/MP672/2024-2025/55,555000.0,3.0,Constituency_A (Urban Metro Center),144103.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",747689.0,2024-09-30,,65089.0,555000.0,2024-10-01,0.0,Andhra Pradesh Medtech zone Ltd,27624.0,"Composite Regional Centre, Nagpur_2",555000.0,Payment Success,3.0,709,1.0,True,2024-25,2024-25,2024-25,Government Agency,False,,,[],0,0.2572847534252223,False,isolation_forest,999971.0,113,,False,0.0,11.87,['FAST_TRACK_SANCTION'],1,Tier 1 (Operational Watchlist),False,Operational Watchlist: Fast-Track Sanction: Approved in 3d (District bottom quartile)
Normal/Others,WS/MP672/2024-2025/144104-Purchase of hospital equipment,Maharashtra,2.0,DISTRICT_A(DISTRICT COLLECTOR DISTRICT_A_IDA),18th Lok Sabha,MP_18LS_01 (Urban Center),Purchasing of Speech and Language disorder assesment and intervention software for speech and hearing disabilities.,2024-09-27,670000.0,1.0,250.0,Physical Inspection,LN/MP672/2024-2025/56,670000.0,4.0,Constituency_A (Urban Metro Center),144104.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",747257.0,2024-09-30,,65044.0,670000.0,2024-09-30,0.0,Voice Tech,32460.0,"Composite Regional Centre, Nagpur_2",670000.0,Payment Success,3.0,709,0.0,True,2024-25,2024-25,2024-25,Government Agency,False,,,[],0,0.2982682719744123,False,isolation_forest,999971.0,113,,False,0.0,13.77,['FAST_TRACK_SANCTION'],1,Tier 1 (Operational Watchlist),False,Operational Watchlist: Fast-Track Sanction: Approved in 3d (District bottom quartile)
Normal/Others,"WS/MP672/2024-2025/144105-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,2.0,DISTRICT_A(DISTRICT COLLECTOR DISTRICT_A_IDA),18th Lok Sabha,MP_18LS_01 (Urban Center),"Construction of Cement Concerete Road from house of Durga Vikas Dharange to house of Sunita Hedaoo at Galli No.24, Vinoba Bhave Nagar.",2024-09-27,458593.0,1.0,250.0,Physical Inspection,LN/MP672/2024-2025/57,458593.0,5.0,Constituency_A (Urban Metro Center),144105.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",746343.0,2024-09-30,,64959.0,458593.0,2024-09-30,0.0,CHITANYA CONSTRUCTION,30007.0,Executive Engineer Nagpur Muncipal Corporation Nagpur,458593.0,Payment Success,3.0,709,0.0,True,2024-25,2024-25,2024-25,Government Agency,False,,,[],0,0.249830687328623,False,isolation_forest,999971.0,113,,False,0.0,11.53,['FAST_TRACK_SANCTION'],1,Tier 1 (Operational Watchlist),False,Operational Watchlist: Fast-Track Sanction: Approved in 3d (District bottom quartile)
Repair and Renovation,WS/MP672/2024-2025/157560-Construction of additional rooms and halls in the existing public and community building,Maharashtra,2.0,DISTRICT_A(DISTRICT COLLECTOR DISTRICT_A_IDA),18th Lok Sabha,MP_18LS_01 (Urban Center),Repair and renovation to Mira Datar Samaj Bhavan at Arvind Nagar.,2024-12-09,998500.0,1.0,250.0,Physical Inspection,LN/MP672/2024-2025/58,998500.0,6.0,Constituency_A (Urban Metro Center),157560.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",1672981.0,2025-02-11,,132546.0,959212.0,2025-09-19,0.0,Kailash Eknath Suryawanshi,62996.0,Executive Engineer Nagpur Muncipal Corporation Nagpur,959212.0,Payment Success,64.0,636,220.0,True,2024-25,2024-25,2024-25,Government Agency,False,,,"[{'rule_id': 'D4', 'description': 'Just-below-threshold budget positioning (within 1-2% or â‚¹2,000 below key round slabs â‚¹1L, â‚¹10L, â‚¹25L, â‚¹50L, â‚¹1Cr) â€” potential approval ceiling or procurement threshold evasion', 'weight': 15}]",15,,False,not_evaluated,,0,,False,0.0,37.5,['JUST_BELOW_THRESHOLD'],1,Tier 1 (Operational Watchlist),False,"Operational Watchlist: Threshold Evasion: Budget of Rs 998,500 positioned just below statutory slab"
Normal/Others,"WS/MP672/2024-2025/157636-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,2.0,DISTRICT_A(DISTRICT COLLECTOR DISTRICT_A_IDA),18th Lok Sabha,MP_18LS_01 (Urban Center),Installation of Paver Blocks (I Block) in Arvind Nagar from House of Viju Dahake to Ramjan Ul Haq.,2024-12-09,1000000.0,1.0,250.0,Physical Inspection,LN/MP672/2024-2025/59,1000000.0,7.0,Constituency_A (Urban Metro Center),157636.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",1562373.0,2025-02-11,,120640.0,956902.0,2025-08-04,0.0,Kailash Eknath Suryawanshi,62996.0,Executive Engineer Nagpur Muncipal Corporation Nagpur,956902.0,Payment Success,64.0,636,174.0,True,2024-25,2024-25,2024-25,Government Agency,False,,,[],0,0.0,False,isolation_forest,999971.0,113,,False,0.0,0.0,[],0,Clean,False,No anomalies detected
Normal/Others,WS/MP672/2024-2025/172547-Construction of footpaths and pedestrian ways,Maharashtra,2.0,DISTRICT_A(DISTRICT COLLECTOR DISTRICT_A_IDA),18th Lok Sabha,MP_18LS_01 (Urban Center),"Installation of I-Block near Rehamania Masjid, Ramai Nagar, Nagpur.",2025-02-04,1000000.0,1.0,250.0,Physical Inspection,LN/MP672/2024-2025/62,1000000.0,8.0,Constituency_A (Urban Metro Center),172547.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",1133324.0,2025-02-07,,88576.0,955761.0,2025-02-17,0.0,JITENDRA FOUJLAL MANE,47350.0,Executive Engineer Nagpur Muncipal Corporation Nagpur,955761.0,Payment Success,3.0,579,10.0,True,2024-25,2024-25,2024-25,Government Agency,False,,,[],0,0.0,False,isolation_forest,999971.0,113,,False,0.0,0.0,['FAST_TRACK_SANCTION'],1,Tier 1 (Operational Watchlist),False,Operational Watchlist: Fast-Track Sanction: Approved in 3d (District bottom quartile)
Normal/Others,"WS/MP672/2024-2025/181677-Purchase of IT systems, including hardware and software for educational purposes",Maharashtra,2.0,DISTRICT_A(DISTRICT COLLECTOR DISTRICT_A_IDA),18th Lok Sabha,MP_18LS_01 (Urban Center),"Providing 30 Computer Sets to Mahila Mahavidyalaya, Nandanvan, Nagpur.",2025-03-13,1950000.0,1.0,250.0,Work Completed,LN/MP672/2024-2025/63,1950000.0,9.0,Constituency_A (Urban Metro Center),181677.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",1358857.0,2025-03-31,,97979.0,1949760.0,2025-05-08,0.0,Spectrum Services,27924.0,District Planing Officer District Planning Committee Collector Office Nagpur,1949760.0,Payment Success,18.0,542,38.0,True,2024-25,2024-25,2024-25,Government Agency,False,,,[],0,0.5401830170323803,False,isolation_forest,999971.0,113,,False,0.0,24.93,[],0,Clean,False,No anomalies detected
Normal/Others,"WS/MP672/2025-2026/181697-Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes",Maharashtra,2.0,DISTRICT_A(DISTRICT COLLECTOR DISTRICT_A_IDA),18th Lok Sabha,MP_18LS_01 (Urban Center),"Construction of 4 Wheeler and 2 Wheeler Parking at Rashtra Sant Tukdoji Maharaj Cancer Hospital and Research Centre, Tukdoji Square, Nagpur for convenience of patients",2025-03-13,1500000.0,1.0,250.0,Physical Inspection,LN/MP672/2024-2025/64,1500000.0,10.0,Constituency_A (Urban Metro Center),181697.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",1789584.0,2025-11-14,,144202.0,966539.0,2025-11-14,0.0,Palash Premchand Musale,67717.0,Executive Engineer Nagpur Muncipal Corporation Nagpur,966539.0,Payment Success,246.0,542,0.0,True,2025-26,2024-25,2025-26,Government Agency,False,,,"[{'rule_id': 'R1', 'description': 'Work not sanctioned within 75 days of recommendation receipt', 'weight': 15}]",15,0.4922244040516982,False,isolation_forest,999971.0,113,,False,0.0,42.91,[],1,Tier 1 (Operational Watchlist),False,Operational Watchlist: Sanction Delay: Took 246d (>75d mandated window)
